customer_id,event_date,amount,event_type,churn_label
50001,2025-08-04,160.0,unknown,1
50004,2025-12-02,134.0,unknown,1
50005,2025-12-02,130.0,unknown,1
50006,2025-12-02,139.0,unknown,1
50009,2024-11-07,127.0,unknown,1
50011,2025-08-04,295.0,unknown,1
50012,2025-01-06,154.0,unknown,1
50013,2025-12-02,134.0,unknown,1
50014,2025-12-02,134.0,unknown,1
50015,2025-03-07,196.0,unknown,1
50017,2025-12-02,129.0,unknown,1
50018,2025-12-02,157.0,unknown,1
50019,2025-12-02,161.0,unknown,1
50020,2024-05-11,150.0,unknown,1
50021,2025-12-02,162.0,unknown,1
50022,2024-04-11,203.0,unknown,1
50024,2025-12-02,146.0,unknown,1
50025,2024-10-08,207.0,unknown,1
50026,2025-12-02,142.0,unknown,1
50027,2025-04-06,173.0,unknown,0
50029,2024-06-10,123.0,unknown,0
50030,2025-07-05,190.0,unknown,0
50031,2025-10-03,143.0,unknown,0
50032,2025-12-02,161.0,unknown,0
50033,2023-06-16,133.0,unknown,0
50034,2024-11-07,209.0,unknown,0
50036,2025-12-02,123.0,unknown,0
50038,2025-11-02,127.0,unknown,0
50039,2023-06-16,194.0,unknown,0
50040,2025-12-02,126.0,unknown,0
50041,2024-01-12,299.0,unknown,0
50042,2024-10-08,125.0,unknown,0
50043,2025-09-03,194.0,unknown,0
50044,2025-01-06,187.0,unknown,0
50045,2025-07-05,130.0,unknown,0
50046,2025-12-02,131.0,unknown,0
50047,2025-12-02,123.0,unknown,1
50049,2025-09-03,131.0,unknown,0
50050,2024-06-10,150.0,unknown,0
50051,2023-07-16,143.0,unknown,0
50052,2025-06-05,125.0,unknown,0
50053,2025-12-02,111.0,unknown,1
50054,2024-05-11,205.0,unknown,0
50056,2025-08-04,139.0,unknown,0
50058,2025-08-04,131.0,unknown,1
50059,2024-01-12,137.0,unknown,0
50060,2023-10-14,145.0,unknown,0
50061,2025-06-05,128.0,unknown,0
50062,2024-11-07,290.0,unknown,0
50063,2023-08-15,287.0,unknown,0
50064,2025-05-06,195.0,unknown,0
50065,2023-12-13,237.0,unknown,0
50066,2023-11-13,300.0,unknown,0
50068,2025-12-02,159.0,unknown,1
50070,2024-06-10,268.0,unknown,0
50071,2025-02-05,136.0,unknown,0
50072,2025-04-06,144.0,unknown,0
50073,2024-09-08,153.0,unknown,0
50074,2025-01-06,166.0,unknown,0
50075,2025-01-06,163.0,unknown,0
50076,2025-12-02,143.0,unknown,0
50077,2024-02-11,168.0,unknown,0
50078,2025-05-06,138.0,unknown,0
50079,2024-11-07,127.0,unknown,0
50080,2025-11-02,167.0,unknown,1
50081,2025-12-02,176.0,unknown,1
50082,2025-12-02,123.0,unknown,0
50084,2024-11-07,149.0,unknown,0
50085,2024-05-11,194.0,unknown,0
50086,2025-12-02,204.0,unknown,1
50087,2025-09-03,185.0,unknown,0
50088,2025-12-02,200.0,unknown,0
50089,2023-12-13,225.0,unknown,0
50090,2025-12-02,127.0,unknown,1
50091,2024-10-08,236.0,unknown,0
50092,2025-12-02,167.0,unknown,1
50094,2024-06-10,189.0,unknown,0
50095,2023-09-14,159.0,unknown,0
50096,2025-03-07,159.0,unknown,0
50097,2025-06-05,126.0,unknown,0
50098,2025-02-05,222.0,unknown,0
