customer_id,event_date,amount,event_type,churn_label
50001,2025-11-27,160.0,order,1
50002,2025-12-02,121.0,order,1
50003,2025-11-29,120.0,order,1
50004,2025-11-29,134.0,order,1
50005,2025-11-29,130.0,order,1
50006,2025-11-25,139.0,order,1
50007,2025-12-02,121.0,order,1
50008,2025-12-02,123.0,order,1
50009,2025-11-30,127.0,order,1
50010,2025-12-01,123.0,order,1
50011,2025-11-24,295.0,order,1
50012,2025-12-02,154.0,order,1
50013,2025-11-30,134.0,order,1
50014,2025-12-02,134.0,order,1
50015,2025-11-25,196.0,order,1
50016,2025-11-30,121.0,order,1
50017,2025-12-02,129.0,order,1
50018,2025-11-29,157.0,order,1
50019,2025-11-26,161.0,order,1
50020,2025-11-29,150.0,order,1
50021,2025-11-25,162.0,order,1
50022,2025-11-26,203.0,order,1
50023,2025-12-02,117.0,order,1
50024,2025-11-30,146.0,order,1
50025,2025-11-29,207.0,order,1
50026,2025-11-28,142.0,order,1
50027,2025-11-26,173.0,order,0
50028,2025-11-27,123.0,order,0
50029,2025-11-17,123.0,order,0
50030,2025-11-25,190.0,order,0
50031,2025-11-23,143.0,order,0
50032,2025-12-02,161.0,order,0
50033,2025-12-02,133.0,order,0
50034,2025-11-21,209.0,order,0
50035,2025-11-30,122.0,order,0
50036,2025-11-30,123.0,order,0
50037,2025-11-30,120.0,order,0
50038,2025-11-30,127.0,order,0
50039,2025-11-28,194.0,order,0
50040,2025-12-01,126.0,order,0
50041,2025-11-28,299.0,order,0
50042,2025-11-24,125.0,order,0
50043,2025-11-28,194.0,order,0
50044,2025-12-01,187.0,order,0
50045,2025-11-28,130.0,order,0
50046,2025-12-01,131.0,order,0
50047,2025-12-02,123.0,order,1
50048,2025-11-30,121.0,order,0
50049,2025-11-22,131.0,order,0
50050,2025-11-29,150.0,order,0
50051,2025-11-30,143.0,order,0
50052,2025-11-30,125.0,order,0
50053,2025-12-02,111.0,order,1
50054,2025-11-25,205.0,order,0
50055,2025-12-01,123.0,order,0
50056,2025-11-30,139.0,order,0
50057,2025-11-30,123.0,order,0
50058,2025-11-30,131.0,order,1
50059,2025-11-30,137.0,order,0
50060,2025-11-29,145.0,order,0
50061,2025-11-26,128.0,order,0
50062,2025-11-23,290.0,order,0
50063,2025-11-17,287.0,order,0
50064,2025-11-23,195.0,order,0
50065,2025-12-02,237.0,order,0
50066,2025-11-23,300.0,order,0
50067,2025-11-29,123.0,order,0
50068,2025-12-01,159.0,order,1
50069,2025-11-30,121.0,order,0
50070,2025-11-24,268.0,order,0
50071,2025-11-25,136.0,order,0
50072,2025-11-30,144.0,order,0
50073,2025-11-30,153.0,order,0
50074,2025-12-02,166.0,order,0
50075,2025-11-25,163.0,order,0
50076,2025-12-02,143.0,order,0
50077,2025-11-25,168.0,order,0
50078,2025-12-02,138.0,order,0
50079,2025-11-25,127.0,order,0
50080,2025-12-02,167.0,order,1
50081,2025-11-23,176.0,order,1
50082,2025-11-30,123.0,order,0
50083,2025-11-25,122.0,order,0
50084,2025-11-30,149.0,order,0
50085,2025-11-29,194.0,order,0
50086,2025-11-24,204.0,order,1
50087,2025-11-24,185.0,order,0
50088,2025-11-25,200.0,order,0
50090,2025-11-28,127.0,order,1
50091,2025-12-02,236.0,order,0
50092,2025-12-01,167.0,order,1
50093,2025-11-27,121.0,order,1
50094,2025-11-24,189.0,order,0
50095,2025-11-27,159.0,order,0
50096,2025-11-25,159.0,order,0
50097,2025-12-01,126.0,order,0
50099,2025-11-19,206.0,order,0
50100,2025-11-28,143.0,order,0
50101,2025-12-02,122.0,order,0
50102,2025-11-24,0.0,order,0
50103,2025-12-01,179.0,order,0
50104,2025-11-24,188.0,order,0
50105,2025-12-01,124.0,order,1
50106,2025-11-30,132.0,order,0
50107,2025-11-17,292.0,order,0
50108,2025-11-30,123.0,order,0
50109,2025-11-26,295.0,order,0
50110,2025-11-28,124.0,order,1
50111,2025-11-23,261.0,order,0
50112,2025-11-25,127.0,order,1
50113,2025-11-20,291.0,order,0
50114,2025-11-30,139.0,order,0
50115,2025-11-30,137.0,order,1
50116,2025-11-30,122.0,order,0
50117,2025-11-30,145.0,order,0
50118,2025-12-02,131.0,order,0
50119,2025-11-25,133.0,order,0
50120,2025-11-25,292.0,order,0
50121,2025-11-30,237.0,order,0
50122,2025-11-30,129.0,order,0
50123,2025-11-23,160.0,order,0
50124,2025-11-30,139.0,order,0
50125,2025-11-30,164.0,order,0
50126,2025-12-02,200.0,order,1
50128,2025-11-27,123.0,order,0
50129,2025-11-30,165.0,order,0
50130,2025-11-30,169.0,order,0
50131,2025-11-30,149.0,order,0
50132,2025-11-24,126.0,order,0
50133,2025-11-23,294.0,order,0
50134,2025-12-02,127.0,order,0
50135,2025-11-28,135.0,order,1
50136,2025-11-29,128.0,order,0
50137,2025-11-27,152.0,order,0
50138,2025-11-28,122.0,order,0
50139,2025-11-25,269.0,order,0
50140,2025-12-02,135.0,order,1
50141,2025-12-02,166.0,order,0
50142,2025-11-24,156.0,order,0
50143,2025-11-27,140.0,order,0
50144,2025-11-22,235.0,order,0
50145,2025-11-21,132.0,order,0
50146,2025-11-19,290.0,order,0
50148,2025-11-28,121.0,order,0
50149,2025-12-01,165.0,order,0
50150,2025-12-02,132.0,order,0
50151,2025-11-30,236.0,order,0
50153,2025-11-25,156.0,order,0
50154,2025-11-28,164.0,order,0
50155,2025-11-26,291.0,order,0
50156,2025-11-29,276.0,order,0
50157,2025-11-26,149.0,order,0
50158,2025-11-23,146.0,order,0
50159,2025-11-24,154.0,order,0
50160,2025-11-29,147.0,order,0
50161,2025-11-25,121.0,order,0
50162,2025-12-02,132.0,order,1
50163,2025-11-30,157.0,order,0
50164,2025-11-30,124.0,order,1
50165,2025-11-30,133.0,order,0
50166,2025-11-30,287.0,order,0
50167,2025-11-25,145.0,order,0
50168,2025-11-30,128.0,order,0
50169,2025-11-28,158.0,order,1
50170,2025-11-30,123.0,order,0
50171,2025-11-24,235.0,order,0
50172,2025-12-02,114.0,order,1
50173,2025-11-23,180.0,order,0
50174,2025-12-02,137.0,order,0
50175,2025-11-30,155.0,order,0
50176,2025-11-28,260.0,order,0
50177,2025-12-02,112.0,order,0
50178,2025-11-25,157.0,order,0
50179,2025-11-25,169.0,order,0
50180,2025-11-25,196.0,order,0
50181,2025-11-24,157.0,order,0
50182,2025-11-24,155.0,order,0
50184,2025-11-30,157.0,order,0
50185,2025-11-29,148.0,order,0
50186,2025-12-02,164.0,order,0
50187,2025-11-21,152.0,order,0
50188,2025-11-30,127.0,order,0
50190,2025-11-22,271.0,order,0
50191,2025-11-25,125.0,order,0
50192,2025-11-25,240.0,order,0
50193,2025-11-25,149.0,order,1
50194,2025-11-30,125.0,order,0
50195,2025-11-23,152.0,order,0
50196,2025-11-28,145.0,order,0
50197,2025-11-25,175.0,order,0
50198,2025-11-25,151.0,order,0
50199,2025-11-30,135.0,order,1
50200,2025-11-23,158.0,order,0
50201,2025-11-23,189.0,order,0
50202,2025-11-29,293.0,order,0
50203,2025-12-02,152.0,order,1
50204,2025-12-01,147.0,order,0
50205,2025-12-01,283.0,order,0
50206,2025-12-02,153.0,order,0
50207,2025-11-28,163.0,order,0
50208,2025-11-29,149.0,order,0
50209,2025-12-02,200.0,order,0
50210,2025-11-24,137.0,order,0
50211,2025-11-30,175.0,order,0
50212,2025-11-25,121.0,order,1
50213,2025-11-30,140.0,order,0
50214,2025-11-30,161.0,order,0
50215,2025-11-25,162.0,order,0
50216,2025-11-28,163.0,order,0
50218,2025-11-22,171.0,order,0
50219,2025-11-25,183.0,order,0
50220,2025-11-19,181.0,order,0
50221,2025-11-30,129.0,order,0
50222,2025-11-30,160.0,order,0
50223,2025-12-02,130.0,order,0
50224,2025-12-02,260.0,order,0
50225,2025-11-30,146.0,order,0
50226,2025-12-02,127.0,order,0
50227,2025-11-25,124.0,order,0
50229,2025-11-25,160.0,order,0
50230,2025-11-30,147.0,order,0
50231,2025-11-25,153.0,order,0
50232,2025-12-02,168.0,order,0
50233,2025-11-30,122.0,order,1
50234,2025-12-02,167.0,order,0
50235,2025-11-20,197.0,order,0
50236,2025-11-30,168.0,order,0
50237,2025-11-25,122.0,order,0
50238,2025-11-30,126.0,order,0
50239,2025-12-02,129.0,order,1
50240,2025-11-29,135.0,order,0
50241,2025-12-02,153.0,order,0
50242,2025-11-25,194.0,order,1
50243,2025-11-29,205.0,order,0
50244,2025-12-02,164.0,order,1
50245,2025-11-30,127.0,order,0
50246,2025-12-02,127.0,order,1
50247,2025-11-30,122.0,order,0
50248,2025-12-02,165.0,order,0
50249,2025-11-28,138.0,order,0
50250,2025-11-25,153.0,order,0
50251,2025-12-02,145.0,order,0
50252,2025-11-25,149.0,order,0
50253,2025-11-30,125.0,order,0
50254,2025-11-28,153.0,order,1
50255,2025-11-30,267.0,order,0
50256,2025-11-29,143.0,order,0
50257,2025-12-02,125.0,order,0
50258,2025-11-28,131.0,order,1
50259,2025-11-30,122.0,order,0
50260,2025-12-02,176.0,order,0
50261,2025-12-02,123.0,order,1
50262,2025-11-15,130.0,order,0
50263,2025-11-29,157.0,order,0
50264,2025-11-30,126.0,order,0
50265,2025-12-01,142.0,order,0
