customer_id,event_date,amount,event_type,churn_label
7590-VHVEG,,29.85,monthly_charge,0
5575-GNVDE,,56.95,monthly_charge,0
3668-QPYBK,,53.85,monthly_charge,1
7795-CFOCW,,42.3,monthly_charge,0
9237-HQITU,,70.7,monthly_charge,1
9305-CDSKC,,99.65,monthly_charge,1
1452-KIOVK,,89.1,monthly_charge,0
6713-OKOMC,,29.75,monthly_charge,0
7892-POOKP,,104.8,monthly_charge,1
6388-TABGU,,56.15,monthly_charge,0
9763-GRSKD,,49.95,monthly_charge,0
7469-LKBCI,,18.95,monthly_charge,0
8091-TTVAX,,100.35,monthly_charge,0
0280-XJGEX,,103.7,monthly_charge,1
5129-JLPIS,,105.5,monthly_charge,0
3655-SNQYZ,,113.25,monthly_charge,0
8191-XWSZG,,20.65,monthly_charge,0
9959-WOFKT,,106.7,monthly_charge,0
4190-MFLUW,,55.2,monthly_charge,1
4183-MYFRB,,90.05,monthly_charge,0
8779-QRDMV,,39.65,monthly_charge,1
1680-VDCWW,,19.8,monthly_charge,0
1066-JKSGK,,20.15,monthly_charge,1
3638-WEABW,,59.9,monthly_charge,0
6322-HRPFA,,59.6,monthly_charge,0
6865-JZNKO,,55.3,monthly_charge,0
6467-CHFZW,,99.35,monthly_charge,1
8665-UTDHZ,,30.2,monthly_charge,1
5248-YGIJN,,90.25,monthly_charge,0
8773-HHUOZ,,64.7,monthly_charge,1
3841-NFECX,,96.35,monthly_charge,0
4929-XIHVW,,95.5,monthly_charge,0
6827-IEAUQ,,66.15,monthly_charge,0
7310-EGVHZ,,20.2,monthly_charge,0
3413-BMNZE,,45.25,monthly_charge,0
6234-RAAPL,,99.9,monthly_charge,0
6047-YHPVI,,69.7,monthly_charge,1
6572-ADKRS,,74.8,monthly_charge,0
5380-WJKOV,,106.35,monthly_charge,1
8168-UQWWF,,97.85,monthly_charge,1
8865-TNMNX,,49.55,monthly_charge,0
9489-DEDVP,,69.2,monthly_charge,0
9867-JCZSP,,20.75,monthly_charge,0
4671-VJLCL,,79.85,monthly_charge,0
4080-IIARD,,76.2,monthly_charge,0
3714-NTNFO,,84.5,monthly_charge,0
5948-UJZLF,,49.25,monthly_charge,0
7760-OYPDY,,80.65,monthly_charge,1
7639-LIAYI,,79.75,monthly_charge,0
2954-PIBKO,,64.15,monthly_charge,0
8012-SOUDQ,,90.25,monthly_charge,0
9420-LOJKX,,99.1,monthly_charge,1
6575-SUVOI,,69.5,monthly_charge,0
7495-OOKFY,,80.65,monthly_charge,1
4667-QONEA,,74.85,monthly_charge,0
1658-BYGOY,,95.45,monthly_charge,1
8769-KKTPH,,99.65,monthly_charge,0
5067-XJQFU,,108.45,monthly_charge,0
3957-SQXML,,24.95,monthly_charge,0
5954-BDFSG,,107.5,monthly_charge,0
0434-CSFON,,100.5,monthly_charge,0
1215-FIGMP,,89.9,monthly_charge,0
0526-SXDJP,,42.1,monthly_charge,0
