customer_id,event_date,amount,event_type,churn_label
7590-VHVEG,2025-11-02,29.85,support_contact,0
5575-GNVDE,2023-02-16,56.95,bill_pay,0
3668-QPYBK,2025-10-03,53.85,mobile_deposit,1
7795-CFOCW,2022-03-23,42.3,support_contact,0
9237-HQITU,2025-10-03,70.7,transfer,1
9305-CDSKC,2025-04-06,99.65,mobile_deposit,1
1452-KIOVK,2024-02-11,89.1,mobile_deposit,0
6713-OKOMC,2025-02-05,29.75,support_contact,0
7892-POOKP,2023-08-15,104.8,transaction,1
6388-TABGU,2020-10-29,56.15,transfer,0
9763-GRSKD,2024-11-07,49.95,support_contact,0
7469-LKBCI,2024-08-09,18.95,transfer,0
8091-TTVAX,2021-02-26,100.35,transfer,0
0280-XJGEX,2021-11-23,103.7,mobile_deposit,1
5129-JLPIS,2023-11-13,105.5,bill_pay,0
3655-SNQYZ,2020-04-02,113.25,transfer,0
8191-XWSZG,2021-08-25,20.65,balance_check,0
9959-WOFKT,2020-02-02,106.7,mobile_deposit,0
4190-MFLUW,2025-02-05,55.2,transaction,1
4183-MYFRB,2024-03-12,90.05,bill_pay,0
8779-QRDMV,2025-11-02,39.65,balance_check,1
1680-VDCWW,2024-12-07,19.8,balance_check,0
1066-JKSGK,2025-11-02,20.15,transaction,1
3638-WEABW,2021-02-26,59.9,bill_pay,0
6322-HRPFA,2021-11-23,59.6,mobile_deposit,0
6865-JZNKO,2023-06-16,55.3,login,0
6467-CHFZW,2022-01-22,99.35,bill_pay,1
8665-UTDHZ,2025-11-02,30.2,transaction,1
5248-YGIJN,2020-01-03,90.25,balance_check,0
8773-HHUOZ,2024-07-10,64.7,mobile_deposit,1
3841-NFECX,2020-02-02,96.35,bill_pay,0
4929-XIHVW,2025-10-03,95.5,login,0
6827-IEAUQ,2023-09-14,66.15,login,0
7310-EGVHZ,2025-11-02,20.2,transfer,0
3413-BMNZE,2025-11-02,45.25,transfer,0
6234-RAAPL,2020-01-03,99.9,support_contact,0
6047-YHPVI,2025-07-05,69.7,transaction,1
6572-ADKRS,2022-02-21,74.8,bill_pay,0
5380-WJKOV,2023-02-16,106.35,bill_pay,1
8168-UQWWF,2025-01-06,97.85,support_contact,1
8865-TNMNX,2025-02-05,49.55,balance_check,0
9489-DEDVP,2020-03-03,69.2,balance_check,0
9867-JCZSP,2024-07-10,20.75,support_contact,0
4671-VJLCL,2020-09-29,79.85,balance_check,0
4080-IIARD,2024-11-07,76.2,transfer,0
3714-NTNFO,2021-11-23,84.5,bill_pay,0
5948-UJZLF,2025-10-03,49.25,support_contact,0
7760-OYPDY,2025-10-03,80.65,bill_pay,1
7639-LIAYI,2021-08-25,79.75,login,0
2954-PIBKO,2020-04-02,64.15,transfer,0
8012-SOUDQ,2022-05-22,90.25,mobile_deposit,0
9420-LOJKX,2024-09-08,99.1,transfer,1
6575-SUVOI,2023-11-13,69.5,support_contact,0
7495-OOKFY,2025-04-06,80.65,mobile_deposit,1
4667-QONEA,2020-12-28,74.85,login,0
1658-BYGOY,2024-06-10,95.45,support_contact,1
8769-KKTPH,2020-09-29,99.65,transaction,0
5067-XJQFU,2020-07-01,108.45,bill_pay,0
3957-SQXML,2023-02-16,24.95,login,0
5954-BDFSG,2020-01-03,107.5,bill_pay,0
0434-CSFON,2022-01-22,100.5,balance_check,0
1215-FIGMP,2020-12-28,89.9,transaction,0
0526-SXDJP,2020-01-03,42.1,transaction,0
0557-ASKVU,2024-06-10,54.4,login,0
5698-BQJOH,2025-03-07,94.4,transaction,1
5122-CYFXA,2025-09-03,75.3,mobile_deposit,0
8627-ZYGSZ,2022-01-22,78.9,transaction,0
3410-YOQBQ,2023-05-17,79.2,bill_pay,0
3170-NMYVV,2021-10-24,20.15,bill_pay,0
7410-OIEDU,2025-02-05,79.85,support_contact,0
2273-QCKXA,2025-11-02,49.05,bill_pay,0
0731-EBJQB,2021-08-25,20.4,support_contact,0
1891-QRQSA,2020-08-30,111.6,bill_pay,0
8028-PNXHQ,2020-10-29,24.25,mobile_deposit,0
5630-AHZIL,2025-09-03,64.5,support_contact,0
2673-CXQEU,2021-04-27,110.5,transfer,0
6416-JNVRK,2022-02-21,55.65,balance_check,0
5590-ZSKRV,2025-04-06,54.65,login,0
0191-ZHSKZ,2023-06-16,74.75,bill_pay,0
3887-PBQAO,2022-03-23,25.9,transaction,0
5919-TMRGD,2025-11-02,79.35,bill_pay,1
8108-UXRQN,2025-01-06,50.55,transaction,0
9191-MYQKX,2025-05-06,75.15,balance_check,1
9919-YLNNG,2022-06-21,103.8,balance_check,0
0318-ZOPWS,2021-11-23,20.15,balance_check,0
4445-ZJNMU,2025-03-07,99.3,transaction,0
4808-YNLEU,2023-01-17,62.15,bill_pay,0
1862-QRWPE,2021-12-23,20.65,balance_check,0
2796-NNUFI,2022-02-21,19.95,mobile_deposit,0
3016-KSVCP,2023-07-16,33.75,support_contact,0
4767-HZZHQ,2023-06-16,82.05,transaction,0
2424-WVHPL,2025-11-02,74.7,transaction,0
7233-PAHHL,2020-07-01,84.0,bill_pay,0
6067-NGCEU,2020-07-31,111.05,transaction,0
9848-JQJTX,2020-01-03,100.9,transaction,0
8637-XJIVR,2024-12-07,78.95,balance_check,1
9803-FTJCG,2020-02-02,66.85,bill_pay,0
0278-YXOOG,2025-07-05,21.05,balance_check,1
3212-KXOCR,2021-08-25,21.0,support_contact,0
4598-XLKNJ,2023-11-13,98.5,support_contact,1
